Speaker,Gender,Word,Phoneme,Class,F1,F2,F3
kxk001,M,heed,IY1,1,232.859,2198.371,2860.601
kxk001,M,hid,IH1,2,355.4,2028.798,2784.408
kxk001,M,head,EH1,3,569.464,1843.656,2683.507
csg001,F,heed,IY1,1,342.234,2652.874,3238.234
csg001,F,hid,IH1,2,422.585,2572.72,3211.043
csg001,F,head,EH1,3,575.478,2315.101,3189.587
hxa001,F,heed,IY1,1,484.305,2713.659,3066.209
hxa001,F,hid,IH1,2,437.193,2645.634,3117.974
hxa001,F,head,EH1,3,638.224,2280.866,2954.405
jrg001,F,heed,IY1,1,336.271,2720.925,3158.873
jrg001,F,hid,IH1,2,444.917,2346.697,3039.779
jrg001,F,head,EH1,3,596.27,2234.837,2951.902
jxb002,F,heed,IY1,1,380.98,2698.069,3080.146
jxb002,F,hid,IH1,2,591.542,2234.029,3001.929
jxb002,F,head,EH1,3,697.185,2085.186,3086.22
jxo001,F,heed,IY1,1,350.263,2768.193,3196.989
jxo001,F,hid,IH1,2,522.915,2505.051,3174.889
jxo001,F,head,EH1,3,668.823,2253.151,2992.7
adl001,M,heed,IY1,1,307.406,2458.145,2852.11
adl001,M,hid,IH1,2,324.699,2274.177,2793.575
adl001,M,head,EH1,3,550.01,2014.984,2717.364
drb001,M,heed,IY1,1,342.953,2121.629,2642.537
drb001,M,hid,IH1,2,740.813,1194.741,2379.865
drb001,M,head,EH1,3,554.839,1901.643,2464.788
dxa001,M,heed,IY1,1,1108.578,2456.377,3249.093
dxa001,M,hid,IH1,2,450.809,2210.234,2908.523
dxa001,M,head,EH1,3,597.661,1863.363,2690.373
hfi001,M,heed,IY1,1,283.193,2264.63,2824.605
hfi001,M,hid,IH1,2,682.61,1304.967,2498.871
hfi001,M,head,EH1,3,515.121,1908.562,2641.381
jum001,M,heed,IY1,1,425.411,2161.748,2892.544
jum001,M,hid,IH1,2,756.26,1538.459,2634.89
jum001,M,head,EH1,3,640.472,1635.7,2821.109
acf001,F,heed,IY1,1,337.569,2773.708,3227.792
acf001,F,hid,IH1,2,494.997,2462.54,3082.405
acf001,F,head,EH1,3,774.043,2168.016,2990.801
cxf001,F,heed,IY1,1,408.642,2497.8,2841.4
cxf001,F,hid,IH1,2,551.732,2135.525,3058.949
cxf001,F,head,EH1,3,716.217,1894.292,3038.756
drm001,F,heed,IY1,1,395.225,2738.816,3128.496
drm001,F,hid,IH1,2,563.102,2613.771,3174.348
drm001,F,head,EH1,3,790.025,2255.499,2822.593
gtb001,F,heed,IY1,1,367.135,2796.474,3047.756
gtb001,F,hid,IH1,2,515.394,2312.949,2942.639
gtb001,F,head,EH1,3,614.814,1839.001,2230.9
gxf001,F,heed,IY1,1,431.212,2516.586,3087.161
gxf001,F,hid,IH1,2,551.672,2174.778,3035.623
gxf001,F,head,EH1,3,719.468,1936.806,2952.453
asp002,M,heed,IY1,1,334.821,2246.957,2693.719
asp002,M,hid,IH1,2,488.594,1944.755,2580.178
asp002,M,head,EH1,3,625.669,1706.757,2478.148
axp001,M,heed,IY1,1,537.902,2288.969,3082.143
axp001,M,hid,IH1,2,434.815,1979.824,2798.482
axp001,M,head,EH1,3,646.741,1780.711,2743.852
dxc002,M,heed,IY1,1,287.638,2387.657,3094.933
dxc002,M,hid,IH1,2,425.32,2071.202,2812.676
dxc002,M,head,EH1,3,576.388,1884.301,2753.312
gxb001,M,heed,IY1,1,405.586,2333.137,2993.166
gxb001,M,hid,IH1,2,421.442,2202.315,2723.602
gxb001,M,head,EH1,3,567.179,2094.164,2611.026
gxi002,M,heed,IY1,1,1144.484,2600.954,3178.739
gxi002,M,hid,IH1,2,439.868,2284.849,2744.916
gxi002,M,head,EH1,3,659.775,1926.087,2655.788
